Company,Month,Service,Campaign,Paid,Percent,Spend,Spent,Impressions,Clicks,CRT
Adams Family Dentistry ,NOV,Dentist,Paid Search,600,0.6,360,200.32,1348,47,0.034866469
AirLogic ,NOV,HVAC,Paid Search,1500,0.65,975,658.96,2311,46,0.019904803
Aletheia Digital ,NOV,Marketing,Paid Search,0,0.6,0,485.18,1904,34,0.017857143
Apex Roofing ,NOV,Roofing,Paid Search,1000,0.6,600,398.02,3277,76,0.023191944
ASP Pools ,NOV,Landscaping & Pools,Paid Search,400,0.6,240,0,0,0,0
Avery Roof Services,NOV,Roofing,Paid Search,0,0.6,0,0,0,0,0
Beracah Homes,NOV,Housing,Paid Search,1100,0.6,660,515.43,1167,138,0.118251928
Best Choice Plumbing,NOV,"Plumbing, HVAC",Paid Search,1000,0.6,600,502.22,1731,75,0.043327556
Brothers Gutters,NOV,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Butts Mill Farm ,NOV,Entertainment,Paid Search,0,0.6,0,0,0,0,0
Buzzell Plumbing Heating & AC,NOV,"Plumbing, HVAC",Paid Search,4876,0.6,2925.6,1309.01,5942,195,0.032817233
Cash Plumbing,NOV,"Plumbing, HVAC",Paid Search,2000,0.6,1200,842.4,1505,19,0.012624585
Cheap Cheap Trees,NOV,Tree Service,Paid Search,1000,0.6,600,126.8,84,7,0.083333333
Childress Dental,NOV,Dentist,Paid Search,1000,0.6,600,511.33,1390,69,0.049640288
Chris Moore Roofing,NOV,Roofing,Paid Search,1000,0.6,600,452.34,867,34,0.039215686
Claim Adjusters,NOV,Insurance,Paid Search,1000,0.6,600,467.39,2159,79,0.036591014
Columbus Hospice,NOV,Medical,Paid Search,1500,0.6,900,622.26,1840,205,0.111413043
Complete Tire,NOV,Tire & Auto,Paid Search,2000,0.6,1164,372.61,2061,91,0.044153324
Containers by Reaves,NOV,Waste Management,Paid Search,1000,0.6,600,477.55,1717,116,0.067559697
Custom Home Furniture,NOV,Furniture,Paid Search,0,0.6,0,0,0,0,0
Custom Home Sleep Shop,NOV,Furniture,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,NOV,Plumbing,Paid Search,350,0.6,210,277.83,354,29,0.081920904
Economy Air,NOV,HVAC,Paid Search,1000,0.6,600,279.44,534,15,0.028089888
Elements Lawn & Pest,NOV,Landscaping & Pools,Paid Search,1500,0.6,900,0,0,0,0
Elite Tree Service,NOV,Tree Service,Paid Search,700,0.6,420,360.49,1367,48,0.035113387
E&S Clothing Warehouse,NOV,Retail,Paid Search,0,0.6,0,0,0,0,0
Fairway Carts - EZ Go,NOV,Golfing,Paid Search,400,0.6,240,164.2,707,41,0.057991513
Fence Doctor,NOV,Fencing,Paid Search,500,0.6,300,210.86,1679,65,0.03871352
Five Star Painting ,NOV,Fencing,Paid Search,600,0.6,360,251.33,1202,33,0.027454243
Fosters Tree Service,NOV,Tree Service,Paid Search,700,0.6,420,294.85,641,13,0.020280811
Funderburk & Lane,NOV,Lawyer,Paid Search,1000,0.6,600,466.7,788,30,0.038071066
Green Team Dumpster Rentals,NOV,Waste Management,Paid Search,500,0.6,300,146.85,1379,24,0.017403916
Gutter Perfection,NOV,Roofing,Paid Search,1200,0.6,720,487.74,3814,72,0.018877819
iAct BIO Pediactric Diabetes Mellitus,NOV,Clinical Trials,Paid Search,100,0.6,60,36.35,629,19,0.030206677
iAct Cardiomyopathy Trial,NOV,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Celiac Disease,NOV,Clinical Trials,Paid Search,75,0.6,45,43.02,575,18,0.031304348
iAct Incyte Ped Eczema,NOV,Clinical Trials,Paid Search,75,0.6,45,0,0,0,0
iAct Lung Cancer,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Lung Cancer Two,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Galera Oral Mucositis,NOV,Clinical Trials,Paid Search,167,0.6,100.2,0,0,0,0
iAct Skin Infection,NOV,Clinical Trials,Paid Search,220,0.6,132,16.5,277,7,0.025270758
iAct Pfizer AD ,NOV,Clinical Trials,Paid Search,320,0.6,192,0,0,0,0
iAct Ulcerative Colitis ,NOV,Clinical Trials,Paid Search,167,0.6,100.2,17.12,151,8,0.052980132
iAct Ulcerative Shire,NOV,Clinical Trials,Paid Search,250,0.6,150,0,0,0,0
iAct Vivus Adolescent Obes,NOV,Clinical Trials,Paid Search,1350,0.6,810,0,0,0,0
JAE of America,NOV,Banking,Paid Search,0,0.6,0,0,0,0,0
Law Office of Sherry L. Johnson,NOV,Lawyer,Paid Search,1000,0.6,600,209.75,1201,28,0.023313905
Law Office of Shanna Rose,NOV,Lawyer,Paid Search,400,0.6,240,0,0,0,0
Majestic Carpet,NOV,Flooring,Paid Search,625,0.6,375,266.09,1003,31,0.030907278
Magic Bubbles,NOV,Cleaning,Paid Search,1750,0.6,1050,860.15,2686,64,0.023827252
Maps.org,NOV,Retail,Paid Search,0,0.6,0,0,0,0,0
Matt's Roofing & Gutters,NOV,Roofing,Paid Search,3550,0.6,2130,1719.17,3451,104,0.030136192
Martin Brothers Body Works,NOV,Tire & Auto,Paid Search,500,0.6,300,0,0,0,0
McGuire's Portable Buildings,NOV,Buildings,Paid Search,1800,0.6,1080,845.79,3930,264,0.067175573
Mid-Georgia Garage DoorsMid- GA SEM,NOV,Buildings,Paid Search,2000,0.6,1200,936.67,3138,106,0.033779477
Midtown OB,NOV,Medical,Paid Search,375,0.6,225,167.62,512,38,0.07421875
Mold Zero,NOV,Home Improvement,Paid Search,6500,0.5,3250,2184.92,5749,121,0.021047139
Muse Kitchen & Bath,NOV,Home Improvement,Paid Search,0,0.6,0,0,0,0,0
NATSB,NOV,Employment,Paid Search,0,0.6,0,0,0,0,0
Northridge Vet,NOV,Veterinary,Paid Search,1000,0.6,600,0,0,0,0
Overby Company,NOV,Office Supply,Paid Search,400,0.6,240,157.04,2128,23,0.010808271
Overhead Door Company,NOV,Garage Door,Paid Search,1500,0.6,900,726.3,2717,140,0.05152742
Overhead Door Pensacola,NOV,Garage Door,Paid Search,5000,0.6,3000,1891.71,3599,158,0.043901084
Overhead Door Montgomery,NOV,Garage Door,Paid Search,1500,0.6,900,1400.84,109213,940,0.008607034
Overhead Door -Watertown,NOV,Garage Door,Paid Search,500,0.6,300,215.87,601,36,0.059900166
Parkside Dental,NOV,Dentist,Paid Search,1000,0.6,600,374.48,851,50,0.058754407
Pink Monarch,NOV,Medical,Paid Search,240,0.6,144,105.81,350,24,0.068571429
Piano Crafters,NOV,Retail,Paid Search,850,0.6,510,427.79,3684,160,0.043431053
Platinum Roofing ,NOV,Roofing,Paid Search,1500,0.6,0,688.03,805,64,0.079503106
PRMC,NOV,Real Estate,Paid Search,0,0.6,0,0,0,0,0
ProGuard 563,NOV,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Reliance Home Services,NOV,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Reliable Pool Enclosures,NOV,Fencing,Paid Search,1500,0.6,900,732.24,6233,176,0.028236804
Rusty's  Floor Coverings,NOV,Flooring,Paid Search,0,0.6,0,0,0,0,0
Servpro CDW,NOV,Restoration & Cleaning,Paid Search,1200,0.6,720,0,7,0,0
"Servpro Harris, Meriwether, & Stewart",NOV,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,NOV,Restoration & Cleaning,Paid Search,700,0.6,420,299.59,5846,163,0.027882313
Shred A Way,NOV,Office Supply,Paid Search,1400,0.6,840,259.3,1639,38,0.023184869
Smiths Radiator,NOV,Tire & Auto,Paid Search,1000,0.6,600,423.89,2711,83,0.030616009
Southern Services Carpet,NOV,Flooring,Paid Search,500,0.6,300,162.19,649,33,0.050847458
Southern Scarlett,NOV,Retail,Paid Search,500,0.6,300,0,0,0,0
Superior Plumbing,NOV,Plumbing,Paid Search,1500,0.6,900,643.2,1252,59,0.047124601
Synovus Minority Birmingham,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Naples,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Atlanta,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Sarasota,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
