Company,Month,Service to Public,Campaign Type,Company Location,Paid to Ad,Percent,Spend,Spent,Impressions,Clicks,CRT,Goal
Adams Family Dentistry ,NOV,Dentist,Paid Search,,600,0.6,360.0,200.32,1348,47,0.034866469,
AirLogic ,NOV,HVAC,Paid Search,,1500,0.65,975.0,658.96,2311,46,0.019904803000000002,
Aletheia Digital ,NOV,,Paid Search,,,0.6,0.0,485.18,1904,34,0.017857143,
Apex Roofing ,NOV,Roofing,Paid Search,,1000,0.6,600.0,398.02,3277,76,0.023191944,
ASP Pools ,NOV,Landscaping & Pools,Paid Search,,400,0.6,240.0,0.0,0,0,,
Avery Roof Services,NOV,Roofing,Paid Search,,,0.6,0.0,0.0,0,0,,
Beracah Homes,NOV,Housing,Paid Search,,1100,0.6,660.0,515.43,1167,138,0.118251928,
Best Choice Plumbing,NOV,"Plumbing, HVAC",Paid Search,,1000,0.6,600.0,502.22,1731,75,0.043327555999999996,
Brothers Gutters,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
Butts Mill Farm ,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
Buzzell Plumbing Heating & AC,NOV,"Plumbing, HVAC",Paid Search,,4876,0.6,2925.6,1309.01,5942,195,0.032817233,
Cash Plumbing,NOV,"Plumbing, HVAC",Paid Search,,2000,0.6,1200.0,842.4,1505,19,0.012624585,
Cheap Cheap Trees,NOV,Tree Service,Paid Search,,1000,0.6,600.0,126.8,84,7,0.083333333,
Childress Dental,NOV,Dentist,Paid Search,,1000,0.6,600.0,511.33,1390,69,0.049640288,
Chris Moore Roofing,NOV,Roofing,Paid Search,,1000,0.6,600.0,452.34,867,34,0.039215686,
Claim Adjusters,NOV,,Paid Search,,1000,0.6,600.0,467.39,2159,79,0.036591014,
Columbus Hospice,NOV,Medical,Paid Search,,1500,0.6,900.0,622.26,1840,205,0.111413043,
Complete Tire,NOV,Tire & Auto,Paid Search,,2000,0.6,1164.0,372.61,2061,91,0.044153324,
Containers by Reaves,NOV,Waste Management,Paid Search,,1000,0.6,600.0,477.55,1717,116,0.067559697,
Custom Home Furniture,NOV,Furniture,Paid Search,,,0.6,0.0,0.0,0,0,,
Custom Home Sleep Shop,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
D&H Backhoe Services,NOV,Plumbing,Paid Search,,350,0.6,210.0,277.83,354,29,0.081920904,
Economy Air,NOV,HVAC,Paid Search,,1000,0.6,600.0,279.44,534,15,0.028089887999999997,
